nombre_municipio,poblacion_2020
El Encanto,2077
La Chorrera,2955
La Pedrera,3947
La Victoria,662
Leticia,49737
Mirití - Paraná,1879
Puerto Alegría,771
Puerto Arica,1042
Puerto Nariño,10239
Puerto Santander,1772
Tarapacá,3939
Abejorral,20287
Abriaquí,2735
Alejandría,4698
Amagá,31283
Amalfi,27071
Andes,44199
Angelópolis,5841
Angostura,11536
Anorí,19104
Anzá,7169
Apartadó,127744
Arboletes,3051
Argelia,7545
Armenia,5074
Barbosa,54347
Bello,552154
Belmira,6116
Betania,10284
Betulia,15896
Briceño,812
Buriticá,9634
Cáceres,30356
Caicedo,8536
Caldas,83423
Campamento,9243
Cañasgordas,15552
Caracolí,4532
Caramanta,4648
Carepa,51143
Carolina (Carolina del Príncipe),3972
Caucasia,95427
Chigorodó,59836
Cisneros,9936
Ciudad Bolívar,26313
Cocorná,14833
Concepción,4758
Concordia,21688
Copacabana,8182
Dabeiba,23509
Donmatías,19709
Ebéjico,12134
El Bagre,53846
El Carmen de Viboral,62581
El Santuario,36605
Entrerríos,11728
Envigado,242197
Fredonia,24754
Frontino,207
Giraldo,575
Girardota,54439
Gómez Plata,9921
Granada,9764
Guadalupe,6665
Guarne,58159
Guatapé,8709
Heliconia,5395
Hispania,5591
Itagüí,289994
Ituango,27789
Jardín,1483
Jericó,13706
La Ceja,68325
La Estrella,75517
La Pintada,846
La Unión,22391
Liborina,1009
Maceo,8248
Marinilla,67893
Medellín,2533424
Montebello,6641
Murindó,5234
Mutatá,14389
Nariño,9947
Nechí,27354
Necoclí,44118
Olaya,3175
Peñol,21769
Peque,8285
Pueblorrico,8735
Puerto Berrío,40713
Puerto Nare,1444
Puerto Triunfo,1897
Remedios,29629
Retiro,24757
Rionegro,142995
Sabanalarga,9278
Sabaneta,87981
Salgar,18261
San Andrés de Cuerquía,7281
San Carlos,15811
San Francisco,5889
San Jerónimo,16017
San José de la Montaña,3765
San Juan de Urabá,2095
San Luis,13123
San Pedro de los Milagros,22885
San Pedro de Urabá,32147
San Rafael,15663
San Roque,21597
Santa Bárbara,27186
Santa Fé de Antioquia,27002
Santa Rosa de Osos,37869
Santo Domingo,12324
San Vicente Ferrer,22469
Segovia,39379
Sonsón,36625
Sopetrán,15512
Támesis,16201
Tarazá,27995
Tarso,6231
Titiribí,10719
Toledo,5043
Turbo,130191
Uramita,6899
Urrao,30876
Valdivia,14102
Valparaíso,6472
Vegachí,12039
Venecia,11715
Vigía del Fuerte,9423
Yalí,7681
Yarumal,42678
Yolombó,23501
Yondó,2011
Zaragoza,25703
Arauca,96814
Arauquita,56209
Cravo Norte,4143
Fortul,20148
Puerto Rondón,4919
Saravena,63004
Tame,48969
Providencia,6259
San Andrés,57433
Baranoa,6705
Barranquilla,1274250
Campo de la Cruz,23567
Candelaria,17195
Galapa,67021
Juan de Acosta,22752
Luruaco,30314
Malambo,139566
Manatí,21442
Palmar de Varela,31038
Piojó,7089
Polonuevo,19545
Ponedera,25728
Puerto Colombia,53649
Repelón,28102
Sabanagrande,35084
Sabanalarga,100049
Santa Lucía,17104
Santo Tomás,32
Soledad,665021
Suan,12572
Tubará,18846
Usiacurí,13144
Bogotá,7743955
Achí,249
Altos del Rosario,11585
Arenal (Arenal del Sur),7775
Arjona,7373
Arroyohondo,871
Barranco de Loba,15181
Calamar,23097
Cantagallo,8696
Cartagena de Indias (Cartagena),1028736
Cicuco,14302
Clemencia,15453
Córdoba,16474
El Carmen de Bolívar,72595
El Guamo,8984
El Peñón,8075
Hatillo de Loba,13012
Magangué,140156
Mahates,29355
Margarita,1111
María La Baja,48457
Mompós (Santa Cruz de Mompós),46408
