municipio,poblacion_2020
Agua de Dios,12325
Albán,6879
Anapoima,16064
Anolaima,14577
Apulo,8747
Arbeláez,10959
Beltrán,1885
Bituima,2568
Bojacá,11092
Cabrera,5062
Cachipay,10703
Cajicá,92967
Caparrapí,1299
Cáqueza,17956
Carmen de Carupa,794
Chaguaní,4364
Chía,14957
Chipaque,10058
Choachí,11528
Chocontá,22278
Cogua,24434
Cota,36992
Cucunubá,8257
El Colegio,26176
El Peñón,4789
El Rosal,24768
Facatativá,155978
Fómeque,12803
Fosca,6038
Funza,105086
Fúquene,5211
Fusagasugá,154143
Gachalá,4405
Gachancipá,19376
Gachetá,8539
Gama,3214
Girardot,109792
Granada,7931
Guachetá,14241
Guaduas,33212
Guasca,16934
Guataquí,2772
Guatavita,6811
Guayabal de Síquima,4743
Guayabetal,6744
Gutiérrez,3567
Jerusalén,2315
Junín,6074
La Calera,32917
La Mesa,36129
La Palma,981
La Peña,6095
La Vega,18642
Lenguazaque,10794
Machetá,6278
Madrid,127138
Manta,3893
Medina,8211
Mosquera,150665
Nariño,2464
Nemocón,14532
Nilo,12028
Nimaima,3763
Nocaima,6562
Pacho,25803
Paime,4279
Pandi,5334
Paratebueno,9218
Pasca,9626
Puerto Salgar,16671
Pulí,3438
Quebradanegra,4927
Quetame,5315
Quipile,6536
Ricaurte,14367
San Antonio del Tequendama,12829
San Bernardo,8984
San Cayetano,4978
San Francisco,11844
San Juan de Rioseco,8537
Sasaima,11521
Sesquilé,12645
Sibaté,36658
Silvania,23489
Simijaca,14062
Soacha,753548
Sopó,28999
Subachoque,16743
Suesca,18741
Supatá,5543
Susa,7067
Sutatausa,6441
Tabio,24206
Tausa,8654
Tena,10531
Tenjo,24096
Tibacuy,4639
Tibirita,3285
Tocaima,16611
Tocancipá,45714
Topaipí,4284
Ubalá,7789
Ubaque,7067
Une,7371
Útica,4434
Venecia,4449
Vergara,7167
Vianí,4667
Villa de San Diego de Ubaté (Ubaté),46911
Villagómez,1826
Villapinzón,18433
Villeta,29128
Viotá,13878
Yacopí,12564
Zipacón,5022
Zipaquirá,146352
