Departamento,Poblacion_2020
Amazonas,79.02
Antioquia,6.677.930
Arauca,294.206
Archipiélago de San Andrés Providencia y Santa Catalina,63.692
Atlántico,2.722.128
Bogotá D.C.,7.743.955
Bolívar,2.180.976
Boyacá,1.242.731
Caldas,1.018.453
Caquetá,410.521
Casanare,435.195
Cauca,1.491.937
Cesar,1.295.387
Chocó,544.764
Córdoba,1.828.947
Cundinamarca,3.242.999
Guainía,50.636
Guaviare,86.657
Huila,1.122.622
La Guajira,965.718
Magdalena,1.427.026
Meta,1.063.454
Nariño,1.627.589
Norte de Santander,1.620.318
Putumayo,359.127
Quindío,555.401
Risaralda,961.055
Santander,2.280.908
Sucre,949.252
Tolima,1.339.998
Valle del Cauca,4.532.152
Vaupés,44.712
Vichada,112.958
